gene_id,symbol,alias
18587,Pde6b,"Pdeb,r,rd,rd-1,rd1,rd10"
18508,Pax6,"1500038E17Rik,AEY11,Dey,Gsfaey11,Pax-6,Sey"
25,ABL1,"ABL,BCR-ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl"
885,CCK,None
1312,COMT,"H,E,L,-,S,-,9,8,n"
1300,COL10A1,None
668478,Ighv1-9,"Gm16697,Igg2a"
5658269,sd-4,None
3077,HFE,"HFE1,HH,HLA-H,MVCD7,TFQTL2"
7042,TGFB2,"G-TSF,LDS4,TGF-beta2"
5933,RBL1,"CP107,PRB1,p107"
24835,Tnf,"RATTNF,TNF-alpha,Tnfa"
4023,LPL,"HDLCQ11,LIPD"
22337,Vdr,"N,r,1,i,1"
23209,MLC1,"LVM,MLC,VL"
100721233,Tg,None
18049,Ngf,"Ngfb,beta-NGF"
4763,NF1,"NFNS,VRNF,WSS"
5947,RBP1,"CRABP-I,CRBP,CRBP1,CRBPI,RBPC,hCRBP1"
8536,CAMK1,"C,A,M,K,I"
3565,IL4,"BCGF-1,BCGF1,BSF-1,BSF1,IL-4"
3115,HLA-DPB1,"DPB1,HLA-DP,HLA-DP1B,HLA-DPB"
1378,CR1,"C3BR,C4BR,CD35,KN"
6476,SI,None
110173,Manba,"2410030O07Rik,B930014J03Rik,Bmn"
5658271,sd-2,None
921,CD5,"LEU1,T1"
3559,IL2RA,"CD25,IDDM10,IL2R,IMD41,TCGFR,p55"
1380,CR2,"C3DR,CD21,CR,CVID7,SLEB9"
3073,HEXA,"T,S,D"
7507,XPA,"XP1,XPAC"
4548,MTR,"HMAG,MS,cblG"
7276,TTR,"ATTR,CTS,CTS1,HEL111,HsT2651,PALB,TBPA,TTN"
5241,PGR,"NR3C3,PR"
5443,POMC,"ACTH,CLIP,LPH,MSH,NPP,OBAIRH,POC"
5158,PDE6B,"CSNB3,CSNBAD2,GMP-PDEbeta,PDEB,RP40,rd1"
4713,NDUFB7,"B18,CI-B18,MC1DN39"
2670,GFAP,"A,L,X,D,R,D"
875,CBS,"CBSL,HIP4"
851624,CDC34,"DNA6,UBC3"
5243,ABCB1,"ABC20,CD243,CLCS,GP170,MDR1,P-GP,PGY1,p-170"
930,CD19,"B4,CVID3"
24255,Cftr,"R,G,D,1,5,6,1,1,9,3"
4311,MME,"CALLA,CD10,CMT2T,NEP,SCA43,SFE"
2071,ERCC3,"BTF2,GTF2H,RAD25,Ssl2,TFIIH,TTD2,XPB"
2235,FECH,"EPP,EPP1,FCE"
19303,Pxn,"P,a,x"
100381094,cftr.L,"abc35,abcc7,cftr,cftr-A,cftr-b,cftr/mrp,mrp7,tnr-cftr,xcftr"
6949,TCOF1,"MFD1,TCS,TCS1,treacle"
1634,DCN,"CSCD,DSPG2,PG40,PGII,PGS2,SLRR1B"
3562,IL3,"IL-3,MCGF,MULTI-CSF"
43,ACHE,"ACEE,ARACHE,N-ACHE,YT"
1621,DBH,"DBM,ORTHYP1"
4952,OCRL,"DENT2,Dent-2,INPP5F,LOCR,NPHL2,OCRL-1,OCRL1"
18242,Oat,"r,h,g"
25634,G6pc1,"G6Pase,G6pc,Psme3"
851191,CLN3,"DAF1,FUN10,WHI1"
3630,INS,"IDDM,IDDM1,IDDM2,ILPR,IRDN,MODY10,PNDM4"
5053,PAH,"PH,PKU,PKU1"
